type, title, names, conference, city, start_year, start_month, start_date, end_year, end_month, end_date
poster, 垂直共振器面発光レーザーを用いたヘリウムプラズマ中1s2p原子の時間分解スペクトル計測, Plasma Conference 2017, 角谷仁郎; 上野佳祐; 藤井 恵介; 四竈泰一; 蓮尾昌弘, 姫路, 2017, 11, 20, 2017, 11, 24
poster, LHDストキャスティック磁場領域における不純物発光分布・フロー・温度の計測系の構築およびダイバータ熱負荷分布との関係, Plasma Conference 2017, 小林政弘; 小林汰輔; クズミン アルセニイ; 増埼貴; 蓮尾昌裕; 仲野友英; 藤井恵介; 田中宏彦; 森田繁; 後藤基志; 澤田圭司; 河村学志; 森崎友宏, 姫路, 2017, 11, 20, 2017, 11, 24
poster, タングステン多価イオン密度推定に用いるための発光スペクトル形状のデータ駆動型推定, Plasma Conference 2017, 榎阪武彦; 鈴木千尋; 村上泉; 森田繁; 蓮尾昌裕; 藤井恵介, 姫路, 2017, 11, 20, 2017, 11, 24
poster, LHD実験ビッグデータからの電子密度揺動データとトムソン散乱データの関連の抽出, Plasma Conference 2017, 大杉拓也; 田中謙治; 蓮尾昌裕; 藤井恵介, 姫路, 2017, 11, 20, 2017, 11, 24
poster, 多変量解析を用いたLHDプラズマ周辺部イオン温度に影響する因子の探索, Plasma Conference 2017, 白水仁; 吉沼幹朗; 居田克巳; 蓮尾昌裕; 藤井恵介, 姫路, 2017, 11, 20, 2017, 11, 24
poster, 多数の実験データを用いた計測装置由来の未知変数推定法の開発, Plasma Conference 2017, 柳本篤則; 蓮尾昌裕; 藤井恵介, 姫路, 2017, 11, 20, 2017, 11, 24
oral, トムソン散乱計測のデータ駆動型キャリブレーション, プラズマ・核融合学会 第33回年会, 藤井恵介, 仙台, 2016, 11, 29, 2016, 12, 2
oral, ガウス過程回帰を用いたLHDプラズマ中電子密度勾配の定量的評価, プラズマ・核融合学会 第33回年会, 中村紀彦; 山田一博; 蓮尾昌裕; 藤井恵介, 仙台, 2016, 11, 29, 2016, 12, 2
oral, 高ダイナミックレンジ分光法とベイズ統計を用いたLHD中水素原子流速の評価, プラズマ・核融合学会 第33回年会, 東野純平; 後藤基志; 森田繁; 蓮尾昌裕; 藤井恵介, 仙台, 2016, 11, 29, 2016, 12, 2
oral, タングステン多価イオン可視禁制線の原子過程モデリング, プラズマ・核融合学会 第32回年会, 加藤太治; 坂上裕之; 村上泉; 後藤基志; 大石鉄太郎; 森田繁; 藤井恵介; 中村信行, 名古屋, 2015, 11, 24, 2015, 11, 27
poster, マイクロホローカソードアルゴンプラズマの診断に向けたレーザー吸収分光計測, プラズマ・核融合学会 第32回年会, 亀淵健太; 片山光一; 藤井恵介; 四竈泰一; 蓮尾昌裕, 名古屋, 2015, 11, 24, 2015, 11, 27
poster, LHDにおける共鳴摂動磁場の粒子輸送への影響と定常実験への適用, プラズマ・核融合学会 第32回年会, 田中謙治; 笠原寛史; 武村勇輝; 成嶋吉朗; 藤井恵介; 後藤基志; 秋山毅志; 徳沢季彦; 山田一博; 安原亮; 武藤敬, 名古屋, 2015, 11, 24, 2015, 11, 27
poster, 高ダイナミックレンジ分光法によるLHD中水素原子流速の空間分布の評価, プラズマ・核融合学会 第32回年会, 東野純平; 藤井恵介; 後藤基志; 森田繁; 蓮尾昌裕, 名古屋, 2015, 11, 24, 2015, 11, 27
poster, 水素原子発光線スペクトルを用いたLHDプラズマ中イオン流速変動の検出, プラズマ・核融合学会 第32回年会, 中村紀彦; 藤井恵介; 砂原優樹; 後藤基志; 森田繁; 蓮尾昌裕, 名古屋, 2015, 11, 24, 2015, 11, 27
poster, 加熱パワー変化に対するLHDプラズマ中粒子輸送の応答, プラズマ・核融合学会 第32回年会, 藤井恵介; 後藤基志; 森田繁; 蓮尾昌裕, 名古屋, 2015, 11, 24, 2015, 11, 27
oral, 高ダイナミックレンジバルマーα分光によるLHDコアプラズマ中水素原子密度分布の計測, Plasma Conference 2014, 藤井恵介; 後藤基志; 森田繁; 蓮尾昌裕, 新潟, 2014, 11, 18, 2014, 11, 21
poster, LHDプラズマの水素バルマーα線スペクトルに見られる陽子衝突励起の影響, Plasma Conference 2014, 中井悠太;藤井恵介;後藤基志;森田繁;蓮尾昌裕, 新潟, 2014, 11, 18, 2014, 11, 21
poster, 10~100 kPaのマイクロホローカソードヘリウムプラズマの空間分解レーザー吸収分光, Plasma Conference 2014, 蓮尾昌裕; 鳥井翔; 山脇翔太; 片山光一; 難波愼一; 藤井恵介; 四竈泰一, 新潟, 2014, 11, 18, 2014, 11, 21
poster, LHDにおける水素原子・分子およびヘリウム原子の発光線解析, Plasma Conference 2014, 澤田圭司; 藤井恵介; 後藤基志; 蓮尾昌裕, 新潟, 2014, 11, 18, 2014, 11, 21
poster, プラズマ中ネオン原子のレーザ誘起蛍光分光によるアライメント緩和計測, プラズマ・核融合学会 第30回年会, 宮田慎一; 松隈啓; 山部将嗣; 藤井恵介; 四竈泰一; 蓮尾昌裕, 東京, 2013, 12, 03, 2013, 12, 06
poster, 高ダイナミックレンジ Balmer-α 線分光法による LHD コアプラズマ中水素原子密度のポロイダル分布の評価, プラズマ・核融合学会 第31回年会, 藤井恵介; 後藤基志; 森田繁; 蓮尾昌裕, 東京, 2013, 12, 03, 2013, 12, 06
poster, ヘリウム原子近赤外発光線への磁場効果観測のための干渉型分光器の開発, プラズマ・核融合学会 第30回年会, 大金修平; 四竈泰一; 石井秀和; 図子秀樹; 藤井恵介; 蓮尾昌裕, 東京, 2013, 12, 03, 2013, 12, 06
poster, カスプ磁場配位 ECR プラズマ中でのリチウム原子発光線の偏光分光計測, プラズマ・核融合学会 第30回年会, 四竈泰一; 永溝聡士; 北岡弘行; 藤井恵介; 打田正樹; 図子秀樹; 岩前敦; 田中仁; 前川孝; 蓮尾昌裕, 東京, 2013, 12, 03, 2013, 12, 06
invited, LHD における中性水素ダイナミクスの分光研究, プラズマ・核融合学会 第29回年会, 藤井恵介, 春日, 2012, 11, 27, 2012, 11, 30
poster, マイクロホローカソード大気圧ヘリウム放電の複数発光線同時高分解プラズマ計測, Plasma Conference 2011, 蓮尾昌裕; 難波愼; 藤井恵介; 四竈泰一; 東裕通, 金沢, 2011, 11, 22, 2011, 11, 25
poster, 空気や水素ガス中でのショ糖結晶の破壊に伴う発光のプラズマ分光計測, Plasma Conference 2011, 小池祐太郎; 藤井恵介; 東裕通; 大山勇己; 四竈泰一; 蓮尾昌裕, 金沢, 2011, 11, 22, 2011, 11, 25
oral, LHD中金属ペレット溶発プラズマの広波長帯域同時高分解分光計測, Plasma Conference 2011, 田中博隆; 藤井恵介; 四竈泰一; 後藤基志; 森田繁; 蓮尾昌裕, 金沢, 2011, 11, 22, 2011, 11, 25
oral, 複数波長域・高分解分光器の開発によるLHD周辺プラズマの計測, プラズマ・核融合学会 第26回年会, 藤井恵介; 水尻圭介; 西岡朋美; 四竈泰一; 岩前敦; 後藤基志; 森田繁; 蓮尾昌裕, 京都, 2009, 12, 01, 2009, 12, 04
poster, プラズマの電子温度，電子密度の3次元分布計測を目指したシート状リチウムビーム源の開発, プラズマ・核融合学会 第26回年会, 西岡朋美; 四竈泰一; 藤井恵介; 蓮尾昌裕; 図子秀樹; Sanjeev Sharma, 京都, 2009, 12, 01, 2009, 12, 04
